receptor_sequence_sha256,canonical_na_residue_count,na_chain_count,trainval_complex_count,trainval_complex_ids,development_complex_count,development_complex_ids,jiang_component_row_count,jiang_components,jiang_complex_ids
9cc8a03e28fe3346ec00ae0cd78cd283a0982036c78efe136cc59b1d39146b8c,144,2,1,2h0z_g6p,2,2z74;2z75,2,chen,2z74_g6p;2z75_glp
bbdab9cde9655d13304e9bbf2ad29392e5c6e58541cc9dc473f29b7b529f1eed,27,1,1,2m4q_am2,2,1byj;1pbr,7,chen;philips;ruiz;yan,1byj_ge1;1byj_ge1;1pbr_bdr;1byj_ge1;1pbr_bdr;1byj_ge1;1pbr_bdr
bd15a8990071c1afed07e3b5fe759e2dce0f8f7422be2d0acab9a02c6b65ad39,173,1,8,3dig_slz;3dim_lys;3diq_hrg;3dix_lys;3diz_lys;3dj0_olz;3dj2_lys;3dio_lys,1,3dil,1,chen,3dil_lys
c0ec75bbe01c061fb603931fc971a8372bb1e2fba247e226ac399b12117b492e,42,2,3,4p20_akn;2et5_rio_g4;4f8v_sis_d2,16,1j7t;1lc4;1mwl;1o9m;2be0;2bee;2esj;2et3;2et4;2et8;2f4s;2f4u;2g5q_akn;2o3x;2pwt;3s4p,35,chen;philips;ruiz;yan,2bee_js4;2be0_js5;2f4u_ab6;2o3x_n30;3s4p_js6;2f4u_ab6;2et8_xxx;2o3x_n30;1mwl_get;2g5q_akn;1j7t_par;2be0_js5;2pwt;2bee_js4;1j7t_par;2et8_xxx;1lc4_toy;1mwl_get;2be0_js5;2g5q_akn;2pwt;1j7t_par;1lc4_toy;1mwl_get;1o9m_42b;2be0_js5;2bee_js4;2esj_liv;2et3_lll;2et4_nmy;2et8_xxx;2f4s_xxx;2f4u_ab6;2g5q_akn;2o3x_n30
c52c3e56976353df5343f4a1047a3adf2c63fdb016f4e0819663a4a0d89732ce,100,1,1,3suh_ffo,1,3sux,1,philips,3sux_thf
d448494240061fc2b05e72a80381f1495b5c571699dae61fb6c5e07660afdbd1,154,2,3,2cky_tpp;3d2g_tpp;3d2v_pyi,1,3d2x,1,philips,3d2x_d2x
ddd23ec0dab8afb8ddf4b3688817035017ee5f5adbb51939f591b67793148585,25,3,1,1g5l_pga,1,1g5k,1,yan,1g5k
e02c6be2b8acae2ae3540ac9c9a8a3cb6f1b34a788cc637f647d1f0582f7cbe6,132,2,1,3slq_5gp,1,3slm,1,yan,3slm_dgp
e2681f8ff00f08713d8dc473f792282a631c307063bd760e5ab76eecf68bfac8,107,1,5,3f2t_fmn;3f2w_fmn;3f2x_fmn;3f2y_fmn;3f30_nco_t9,1,3f2q,1,chen,3f2q_fmn
e5f4897a6b5dec56ead9b6e1cc0582e35bd0baa93e94bd4360085430d5a7ef7f,1513,2,2,1hnx_pcy;1hnz_hyg,1,1hnw_tac,1,philips,1hnw_tac
e795ec582b90a335a21b71d3f211bfae6be13dfb19d2b9f53b6b9393ac5c4f1e,156,2,2,4nya_2qb;7tzr_kwu,1,2gdi,2,chen;philips,2gdi;2gdi
e92721c2e4378ac5f329e5d29af524a5bc5d6e19bd7a4c237382743ecfac5a7a,52,1,2,3e5e_sah;3e5f_eem,1,3e5c,1,yan,3e5c_sam
